log2FoldChange	logCPM	F	pvalue	padj
ENSMUSG00000030307	3.32166548730409	7.1055845116255	5183.36728726923	9.50413897651332e-289	6.42574836202066e-285
ENSMUSG00000030310	2.32950210277132	7.32184502172352	3340.86532966335	7.39973330324043e-241	2.50147984316043e-237
ENSMUSG00000002985	2.07599067446499	7.69096341055467	3219.30225497848	6.11915168766135e-237	1.37905281867595e-233
ENSMUSG00000064080	1.65813028579665	8.44549626334737	2673.38722994054	1.21969367143384e-217	2.06158722814105e-214
ENSMUSG00000026701	-1.54037052413213	9.19975991727558	2476.82074790787	6.95958412679119e-210	9.41074965624705e-207
ENSMUSG00000030428	1.53352347898849	9.20788685349571	2413.23560358721	2.87799094394474e-207	3.2430161286684e-204
ENSMUSG00000045382	1.85640036589907	7.32338345631934	2311.62831934242	5.73109589892668e-203	5.53541991037761e-200
ENSMUSG00000007097	1.48746292301031	8.65827582870833	2153.52115861945	5.74279753109073e-196	4.85338176346305e-193
ENSMUSG00000032667	-1.92377990636413	6.91961406523831	1987.99233317151	3.4537633998711e-188	2.59454381628094e-185
ENSMUSG00000024892	1.77433441043615	6.81589117593145	1695.64998304797	3.93547916348014e-173	2.66077746242892e-170
ENSMUSG00000040797	3.04777507057199	4.6204229464427	1355.35288837374	6.13079254416184e-153	3.76820803555256e-150
ENSMUSG00000029298	3.02369386621451	4.48657439063473	1263.06068571856	7.62513665122347e-147	4.29612907491016e-144
ENSMUSG00000030376	1.50506283790338	6.8185872045429	1236.92186596706	4.61574372797153e-145	2.40054179575504e-142
ENSMUSG00000002944	1.99958463845647	5.62898779416864	1173.28531399379	1.29649110950296e-140	6.2611259938211e-138
ENSMUSG00000024472	-1.07621635140478	8.39384227757399	1146.35584366382	1.10768410469832e-138	4.99270148791024e-136
ENSMUSG00000019539	1.37116961176735	6.9733138885537	1139.93691065336	3.23087166312486e-138	1.3652452071492e-135
ENSMUSG00000026227	1.13822160292628	7.78293911422306	1100.60976803411	2.49090180526566e-135	9.90646300317714e-133
ENSMUSG00000029309	0.99872100944996	9.28171201740919	1090.64827184784	1.37541119262162e-134	5.16619726295264e-132
ENSMUSG00000053024	4.09567708819251	3.59226182318073	1084.54018066255	3.94146170440878e-134	1.40253803071094e-131
ENSMUSG00000062209	1.65621703604222	6.18198598016576	1078.13151473847	1.19454078266022e-133	4.03814511578286e-131
ENSMUSG00000055322	1.07964551176982	7.87580174210187	1021.80129878392	2.46754112515729e-129	7.94430740342305e-127
ENSMUSG00000038370	1.49639932955066	6.39473545014206	999.380796830047	1.42038970328426e-127	4.36511581086585e-125
ENSMUSG00000029163	1.01495061182706	8.0819248093523	974.311529774336	1.41430270818346e-125	4.15743504783842e-123
ENSMUSG00000070348	-0.97244244158613	12.0145311165842	962.466955320187	1.27622667964027e-124	3.59523690876993e-122
ENSMUSG00000041642	0.95065360420929	8.81265212795884	949.913713301155	1.3383654556519e-123	3.61947553826499e-121
ENSMUSG00000039533	2.25531140444996	4.78621817521014	942.006514474465	5.9403593434408e-123	1.54472190465397e-120
ENSMUSG00000026667	-0.929196785416293	9.52171762974881	932.213955283416	3.80265674886653e-122	9.52213417743948e-120
ENSMUSG00000034021	-0.923885342691306	9.08205713116389	919.24471798938	4.52948962461068e-121	1.09370997685689e-118
ENSMUSG00000029189	1.07728232370458	7.53288746810501	903.957405273585	8.63838713266245e-120	2.01393570358382e-117
