Geneid	Chr	Start	End	Strand	Length	cont_1	cont_2	cont_3	KD_1	KD_2	KD_3
ENSMUSG00000000702	NT_166433;NT_166433;NT_166433;NT_166433	11955;16677;17745;18309	12166;16841;17814;18898	+;+;+;+	1037	0	0	0	0	0	0
ENSMUSG00000078423	NT_166433;NT_166433;NT_166433;NT_166433	28587;31129;32196;51920	28798;31299;32270;52512	+;+;+;+	1051	0	0	0	0	0	0
ENSMUSG00000078424	NT_166433;NT_166433;NT_166433;NT_166433;NT_166433	47745;47928;50322;51351;51920	47845;48129;50492;51425;52514	+;+;+;+;+	1144	0	0	0	0	0	0
ENSMUSG00000071964	NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402	12543;14651;14882;15022;15280;15976;16289;16974;19278;19472;19729;20008;20201;20592;22596;22971;25089;25405;26154;26334;28005;35798;36010;36754;36964;37217	12644;14767;14937;15190;15414;16082;16379;17106;19375;19618;19905;20112;20281;20747;22761;23167;25153;25600;26228;26526;28093;35890;36201;36855;37064;38054	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3981	0	0	0	0	0	0
ENSMUSG00000091539	18	3122455	3123465	-	1011	0	0	0	1	0	0
ENSMUSG00000063889	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	3266046;3273420;3273607;3276692;3280947;3281686;3283896;3287630;3294182;3295320;3299160;3299448;3309644;3318698;3325359;3327492;3336959;3337378	3268127;3273601;3273623;3276773;3281130;3281767;3284071;3288090;3295180;3295414;3299306;3299557;3309985;3318987;3325476;3327589;3337061;3337746	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5937	1189	1247	1124	865	759	707
ENSMUSG00000091488	18;18	3336414;3365925	3337176;3366861	+;+	1700	21	24	17	28	25	33
ENSMUSG00000024231	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	3382986;3383223;3399844;3405683;3414128;3417533;3418562;3419345;3419530;3421201;3423467;3424448;3425510;3426093;3426315;3426756;3427161;3429568;3430910;3431482;3433882;3434842	3383170;3383395;3399984;3405785;3414222;3417638;3418644;3419441;3419640;3421363;3423591;3424555;3425569;3426221;3426401;3426908;3427246;3429634;3431112;3431583;3434108;3436698	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4461	4908	5250	4751	3975	3502	3764
ENSMUSG00000024232	18;18;18	3507955;3511255;3511980	3508283;3511542;3516402	+;+;+	5040	638	752	677	510	495	450
ENSMUSG00000088480	18	3770739	3770802	-	64	0	0	0	0	0	0
ENSMUSG00000084719	18	3860106	3860428	+	323	0	1	0	0	0	0
ENSMUSG00000024233	18;18;18;18;18	4165830;4168495;4169135;4181112;4181903	4165945;4168658;4169293;4181190;4182230	+;+;+;+;+	846	0	0	0	0	0	0
ENSMUSG00000073647	18;18	4198214;4198614	4198609;4198967	-;-	750	838	955	855	882	723	791
ENSMUSG00000024235	18;18;18;18;18;18;18;18;18	4331325;4333816;4334615;4336164;4339495;4340545;4343020;4347453;4352850	4332434;4334062;4335046;4336293;4339601;4340806;4343187;4349336;4353013	-;-;-;-;-;-;-;-;-	4504	71	82	83	121	95	74
ENSMUSG00000090484	18;18	4373667;4379765	4376736;4379978	-;-	3284	0	1	1	0	1	0
ENSMUSG00000024234	18;18;18;18;18;18;18;18;18	4375590;4379567;4380652;4383187;4386169;4386951;4394972;4395154;4396103	4375776;4379739;4380885;4383411;4386380;4387177;4395064;4395227;4397328	+;+;+;+;+;+;+;+;+	2651	2462	2500	2313	2048	1769	1878
ENSMUSG00000092883	18	4614628	4614698	-	71	1	2	0	1	0	0
